Type,Site name,Location,Taxa measured,e_p_ratio,Reference,Source
Lakes,Sugarloaf Lake,"Michigan, USA",Diptera,0.2,Anderson and Hooper 19561,Gratton et al. 2009
Streams,,,Chironomidae,0.181818182,"Berg and Hellenthal, 1991",Raitif et al 2018
Lakes,Lake Beloie,USSR,Diptera,0.09,Borutsky (1939)1,Gratton et al. 2009
Lakes,Lake Beloie,USSR,Diptera,0.15,Borutsky (1939)1,Gratton et al. 2009
Lakes,Lake Beloie,USSR,Diptera,0.12,Borutsky (1939)1,Gratton et al. 2009
Streams,Breitenback Stream,Germany,Ephemeroptera,0.04,Castro (1975)1,Gratton et al. 2009
Streams,,,EPT_Chiro,,"Gu?cker et al., 2011",Raitif et al 2018
Streams,,,Ephemeroptera,0.385654008,GutierrezFonseca&Ramirez2020,Raitif et al 2018
Streams,,,Ephemeroptera,0.197820343,GutierrezFonseca&Ramirez2020,Raitif et al 2018
Lakes,Cornell exp. Ponds,"New York, USA",Diptera,0.2,Hall et al. (1970)1,Gratton et al. 2009
Lakes,pond J,"Alaska, USA",insects,0.31,Hobbie (1980),Gratton et al. 2009
Lakes,pond D,"Alaska, USA",insects,0.44,Hobbie (1980),Gratton et al. 2009
Lakes,pond B,"Alaska, USA",insects,0.7,Hobbie (1980),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Ephemeroptera,0.15,Jackson and Fisher (1986),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Ephemeroptera,0.02,Jackson and Fisher (1986),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Ephemeroptera,0.07,Jackson and Fisher (1986),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Diptera,0.24,Jackson and Fisher (1986),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Diptera,0.29,Jackson and Fisher (1986),Gratton et al. 2009
Streams,Sycamore Creek,"Arizona, USA",Trichoptera,0.27,Jackson and Fisher (1986),Gratton et al. 2009
Streams,,,Chironomidae,0.23670669,"Jackson and Fisher, 1986",Raitif et al 2018
Streams,,,Trichoptera,0.805555556,"Jackson and Fisher, 1986",Raitif et al 2018
Streams,,,EPT ,0.186666667,"Johnson et al., 2013a",Raitif et al 2018
Lakes,Lake Esrom,Denmark,Diptera,0.57,Jonasson (1972),Gratton et al. 2009
Lakes,Mývatn,Iceland,insects,0.52,"Jonasson (1981), Jonasson et al. (1990)",Gratton et al. 2009
Lakes,Sewage ponds,"Oregon, USA",Diptera,0.38,Kimerle and Anderson (1971)1,Gratton et al. 2009
Lakes,Sewage ponds,"Oregon, USA",Diptera,0.4,Kimerle and Anderson (1971)1,Gratton et al. 2009
Lakes,Ovre Heimdalsvatn,Norway,insects,0.09,Larsson et al. (1978),Gratton et al. 2009
Lakes,Port-Biehl,France,insects,0.35,Laville (1975),Gratton et al. 2009
Streams,Alte Schwentine,Germany,Trichoptera,0.19,Poepperl (2000),Gratton et al. 2009
Streams,Alte Schwentine,Germany,Trichoptera,0.27,Poepperl (2000),Gratton et al. 2009
Streams,Alte Schwentine,Germany,Ephemeroptera,0.15,Poepperl (2000),Gratton et al. 2009
Streams,Alte Schwentine,Germany,Trichoptera,0.26,Poepperl (2000),Gratton et al. 2009
Streams,Alte Schwentine,Germany,Diptera,0.2,Poepperl (2000),Gratton et al. 2009
Lakes,Eglwys Nunydd Res.,U.K.,Diptera,0.07,Potter and Learner (1974),Gratton et al. 2009
Streams,,,EPT_Chiro,0.180952381,Raitif et al 2018,Raitif et al 2018
Streams,,,Chironomidae,0.180327869,Raitif et al 2018,Raitif et al 2018
Streams,,,Ephemeroptera,0.189189189,Raitif et al 2018,Raitif et al 2018
Streams,,,Trichoptera,0.1875,Raitif et al 2018,Raitif et al 2018
Streams,,,Chironomidae,0.181506849,"Reynolds and Benke, 2012",Raitif et al 2018
Streams,,,Trichoptera,0.185897436,"Sallenave and Day, 1991",Raitif et al 2018
Lakes,Paajarvi,Finland,zoobenthos,0.06,Sarvala et al. (1981),Gratton et al. 2009
Streams,,,Chironomidae,0.181034483,"Shieh et al., 2003",Raitif et al 2018
Streams,,,Ephemeroptera,0.166666667,"Shieh et al., 2003",Raitif et al 2018
Streams,,,Trichoptera,0.178947368,"Shieh et al., 2003",Raitif et al 2018
Streams,Streams,"Oregon, USA",Diptera,0.27,Speir and Anderson (1974)2,Gratton et al. 2009
Streams,Streams,"Oregon, USA",Diptera,0.19,Speir and Anderson (1974)2,Gratton et al. 2009
Streams,Streams,"Oregon, USA",Diptera,0.23,Speir and Anderson (1974)2,Gratton et al. 2009
Streams,Streams,"Oregon, USA",Diptera,0.18,Speir and Anderson (1974)2,Gratton et al. 2009
Streams,Ohanapecosh spring,"Washington, USA",Diptera,0.27,Stockner (1971)1,Gratton et al. 2009
Lakes,Mirror Lake,"New Hampshire, USA",insects,0.45,Strayer and Likens (1986),Gratton et al. 2009
Streams,Root spring,"Massachusetts, USA",Diptera,0.14,Teal (1957)1,Gratton et al. 2009
Streams,Root spring,"Massachusetts, USA",Diptera,0.2,Teal (1957)1,Gratton et al. 2009
Lakes,Char Lake,"Northwest Territories, Canada",Diptera,0.27,"Welch (1973), (1976)",Gratton et al. 2009
Streams,,,EPT_Chiro,0.183673469,"Yuen and Dudgeon, 2016",Raitif et al 2018
