Site name,Location,area_ha,proportion_insects,secondary_production g C·m-2·y-1),source
Texas pond,"Texas, USA",0.94,0.95,4.84,Benson et al. (1980)
tundra pond J,"Alaska, USA",0.08,0.95,3.29,Hobbie (1980)
tundra pond D,"Alaska, USA",0.05,0.95,1.06,Hobbie (1980)
tundra pond B,"Alaska, USA",0.04,0.95,0.75,Hobbie (1980)
Crampton Lake,"Michigan, USA",26,0.94,2.07,Babler et al. (2008)
Batchawana Lake,"Ontario, Canada",11.7,-,0.05,Dermott (1988)
Wishart Lake,"Ontario, Canada",19.2,-,0.02,Dermott (1988)
Turkey Lake,"Ontario, Canada",52,-,0.12,Dermott (1988)
Little Turkey Lake,"Ontario, Canada",21.6,-,0.04,Dermott (1988)
Castle Lake,"California, USA",20.1,-,0.36,Vander Zanden et al. (2006)
Alderfen Broad,UK,4.7,0.22,5.5,Mason (1977)
Upton Broad,UK,5.2,0.86,5.9,Mason (1977)
Lake Manitoba,"Manitoba, Canada","473,600",0.2,7.82,Tudorancea et al. (1979)
"Lake Ontario,","Ontario, Canada","25,740",0.1,16.12,Johnson and Brinkhurst (1971)
Bay of Quinte,,,,,
Lake Ontario,Canada-USA,"1,909,900",0.03,7.27,Johnson and Brinkhurst (1971)
Eglwys Nunydd Res.,UK,100,0.57,17.39,Potter and Learner (1974)
Loch Leven,UK,"1,330",-,21.86,Potter and Learner (1974)
Lake Paajarvi,Finland,"1,340",-,2.31,Sarvala et al. (1981)
Ovre Heimdalsvatn,Norway,77.5,0.32,1.18,Larsson et al. (1978)
Mirror Lake,"New Hampshire, USA",15,0.58,5.8,Strayer and Likens (1986)
Findley Lake,"New York, USA",11.4,-,0.7,Wissmar and Wetzel (1978)
Marion Lake,"British Columbia, Canada",13.3,-,3.4,Wissmar and Wetzel (1978)
Lake Wingra,"Wisconsin, USA",137,-,2.2,Wissmar and Wetzel (1978)
Taltowisko,Poland,326.9,-,14.48,Kajak and Rybak (1966)
Mikolajskie,Poland,460,-,7.51,"Kajak (1978),"
,,,,,Kajak and Rybak (1966)
Sniardwy,Poland,"10,588",-,6.58,Kajak and Rybak (1966)
Port-Biehl,France,20,0.98,0.98,Laville (1975)
Char,"Northwest Territories, Canada",52.6,1,0.25,"Welch (1973), (1976)"
Lake Myvatn,Iceland,"2,910",0.92,19.71,"Jonasson et al. (1990),"
,,,,,Lindegaard (1994)
Hjarbaek Fjord,Denmark,"2,480",0.96,24.54,Lindegaard (1994)
Thingvallavatn,Iceland,"8,300",0.6,1.79,Jonasson et al. (1990)
Esrom,Denmark,"1,730",0.93,15.51,Jonasson et al. (1990)
Erie,"Canada, USA","2,582,100",0.01,100.76,Johannsson et al. (2000)
Brunnsee,Germany,5.5,-,3.1,Bergtold and Traunspurger (2005)
Lake 95,Greenland,8,0.95,0.51,Lindegaard et al. (1992)
Werowrap,Australia,21.6,0.97,32.19,Patterson and Walker (1974)
Lake Zelenetzkoye,USSR,24,0.51,0.3,Winberg et al. (1973)
Krivoe,USSR,49.8,-,0.28,Alimov and Winberg (1972)
Krugloe,USSR,9.8,-,0.64,Alimov and Winberg (1972)
Rybinsk Res.,USSR,"455,000",-,1.6,Sorokin (1979)
Dalnee L.,USSR,136,-,2.95,Sorokin (1979)
Red,USSR,913,0.83,2.51,Andronikova et al. (1972)
Naroch,USSR,"8,009",0.58,1.6,Winberg et al. (1972)
Myastro,USSR,"1,310",0.72,0.49,Winberg et al. (1972)
Batorin,USSR,625,0.98,1.59,Winberg et al. (1972)
Kiev Reservoir,USSR,"99,200",-,20.97,Gak et al. (1972)
Krasnoe,USSR,900,-,2.38,Winberg (1972)
Drivyati,USSR,"3,300",-,1.35,Winberg (1972)
Memphremagog,Canada–USA,"10,200",0.9,1.53,Dermott et al. (1977)
