id,lat,lon
1,31.130000000000003,-81.86
2,31.28,-82.36
3,39.57,-105.86
4,39.27,-106.07
5,39.28,-106.07
6,39.349999999999994,-106.21
7,39.2,-106.08
8,44.89,-68.13
9,44.89,-68.13
10,44.879999999999995,-68.14
11,44.879999999999995,-68.14
12,44.879999999999995,-68.11999999999999
13,44.879999999999995,-68.11999999999999
14,44.879999999999995,-68.1
15,44.879999999999995,-68.11999999999999
16,44.879999999999995,-68.14
17,35.06,-83.45
18,35.06,-83.44000000000001
19,36.5,-111.85
20,36.17,-111.81
21,36.28,-112.49
22,36.720000000000006,-112.85
23,35.77,-113.36
24,35.06,-83.43
25,35.05,-83.43
26,46.47,-88.9
27,46.47,-88.9
28,46.47,-88.9
29,46.42,-88.9
30,46.42,-88.9
31,46.42,-88.9
32,46.44,-88.9
33,46.44,-88.9
34,46.44,-88.9
35,42.349999999999994,-72.51
36,33.75,-111.5
37,47.61,-120
38,46.46,-119.72
39,46.49,-119.79
40,35.06,-83.43
41,39.05,-79.67999999999999
42,39.05,-79.67999999999999
43,39.32,-79.66
44,39.053,-79.513
45,35.06,-83.4
46,35.04,-83.46000000000001
47,35.05,-83.4
48,35.04,-83.45
49,35.06,-83.4
50,35.06,-83.42
51,35.07,-83.39
52,35.08,-83.38
53,35.09,-83.38
54,35.230000000000004,-83.39
55,35.33,-83.52
56,43.94,-71.72
57,43.93,-71.69
58,38.290000000000006,-81.1
59,38.23,-81.19
60,38.2,-85.56
61,38.27,-85.56
62,38.3,-81.04
63,37.87,-85.61999999999999
64,38.28,-81.11999999999999
65,38.3,-81.11
66,38.309999999999995,-85.61
67,38.290000000000006,-81.08
68,38.3,-81.04
69,37.809999999999995,-86.29
70,38.309999999999995,-81.03
71,38.120000000000005,-85.75
72,44.760000000000005,-112.25
73,37.61,-118.83
74,40.23,-105.63
75,40.23,-105.63
76,40.21,-105.44
77,40.21,-105.44
78,40.21,-105.52
79,40.21,-105.52
80,40.21,-105.63
81,40.21,-105.63
82,37.9,-79.51
83,37.92,-79.5
84,37.94,-79.48
85,37.95,-79.47
86,37.93,-79.49000000000001
87,42.34,-73.03
88,44.11,-112.88
89,44,-113.21
90,40.59,-105.08
91,40.58,-105.05
92,40.57,-105.03
93,40.54,-105
94,40.53,-104.99
95,40.51,-104.98
96,37.14,-77.09
97,37.11,-77.03
98,39.08,-96.58
99,35.06,-83.43
100,35.05,-83.43
101,39.1,-96.57
102,39.1,-96.57
103,39.1,-96.57
104,39.08,-96.58
105,39.08,-96.58
106,39.08,-96.58
107,34.790000000000006,-85.98
108,34.790000000000006,-85.98
109,34.790000000000006,-85.98
110,35.05,-83.45
111,35.05,-83.45
112,35.04,-83.45
113,35.04,-83.45
114,37.41,-89.16
115,37.41,-89.16
116,37.4,-89.14999999999999
117,37.4,-89.14999999999999
118,39.11,-96.61
119,39.08,-96.58
120,39.09,-96.58
121,44.879999999999995,-68.11999999999999
122,46.368,-84.226
123,42.674,-82.508
124,42.306999999999995,-83.084
125,44.366,-75.889
126,38.319,-81.049
127,38.321,-81.038
128,35.035000000000004,-83.46000000000001
129,35.035000000000004,-83.46600000000001
130,35.035000000000004,-83.46600000000001
131,35.049,-83.45700000000001
132,35.049,-83.45700000000001
133,37.646,-80.886
134,44.561,-110.835
135,44.562000000000005,-110.836
136,44.11,-110.687
137,44.641,-110.855
138,33.75,-111.5
139,47.574,-91.037
140,46.618,-92.561
141,43.662000000000006,-92.531
142,34.016,-80.833
143,33.973,-80.829
144,33.940999999999995,-80.823
145,51.083,0.05
146,-55.076,-67.65499999999999
147,-55.076,-67.65499999999999
148,-55.076,-67.65499999999999
149,8.667,-80.583
150,8.667,-80.583
151,8.7,-80.233
152,8.7,-80.233
153,64.05,-21.3
154,64.05,-21.3
155,64.05,-21.3
156,64.05,-21.3
157,64.05,-21.3
158,64.05,-21.3
159,-41.1,174.9
160,-41.1,174.9
161,-41.1,174.9
162,-40.967,175.483
163,-40.967,175.483
164,-40.967,175.483
165,-44.518,170.32000000000002
166,56.767,9.883
167,56.367,9.333
168,10.433,-84.01700000000001
169,51.075,0.1
170,51.425,-1.35
171,51.425,-1.35
