,Production,,,,Biomass,Abundance,Body,,,,,,,
Species,(g m2 y,insect,insect_order,insect_taxon,(g m2),(nos m2),mass (mg),P/B,,,,,,
Asellus meridianus,0.008,n,,Asellidae,0.001625,2,0.8668,5,,,,,,
Cyclopoids,0.001,n,,Copepoda,0.000117,13196,0.00001,11.85,,,,,,
Niphargus aquilex,0.009,n,,Niphargidae,0.001114,3,0.38013,8.12,,,,,,
Oligochaeta,0.782,n,,oligochaete,0.112515,185,0.60807,6.95,,,,,,
Pisidium sp.,0.172,n,,Pisidiidae,0.040518,311,0.13034,4.24,,,,,,
Prodiamesa olivacea,0.396,y,Chironomidae,chironomidae,0.055252,320,0.17275,7.16,,,,,,
Heterotrissocladius,0.295,y,Chironomidae,chironomidae,0.029145,5104,0.00571,10.12,,,,,,
Micropsectra bidentata,0.241,y,Chironomidae,Chironomidae,0.023912,6293,0.0038,10.07,,,,,,
Macropelopia nebulosa,0.194,y,Chironomidae,Chironomidae,0.035855,228,0.15711,5.42,,eph,ple,tri,chi,other
Trissopelopia,0.161,y,Chironomidae,Chironomidae,0.025646,722,0.03553,6.27,,0.001,0.895,0.77,1.435,0.512
Zavrelimyia barbatipes,0.06,y,Chironomidae,Chironomidae,0.008414,974,0.00863,7.14,,,,,,
Polypedilum albicorne,0.058,y,Chironomidae,Chironomidae,0.006317,1242,0.00509,9.14,,3.613,,,,
Brillia modesta,0.028,y,Chironomidae,Chironomidae,0.002718,208,0.01306,10.2,,,,,,
Corynoneura lobata,0.002,y,Chironomidae,Chironomidae,0.000238,67,0.00354,7.09,,,,,,
Bezzia sp.,0.205,y,Diptera,Ceratopogonidae,0.038367,393,0.0976,5.35,,,,,,
Tipulidae,0.005,y,Diptera,Diptera,0.000784,8,0.09493,6.75,,,,,,
Diptera spp.,0.004,y,Diptera,Diptera,0.000563,1,0.42209,6.75,,,,,,
Simulium sp.,0.019,y,Diptera,Simuliidae,0.0039,82,0.04741,4.94,,,,,,
Pedicia sp.,0.049,y,Diptera,Tipulidae,0.014521,2,6.80678,3.38,,,,,,
Dicranota sp.,0.036,y,Diptera,Tipulidae,0.005356,11,0.47485,6.75,,,,,,
Adicella reducta,0.001,y,Ephemeroptera,Leptoceridae,0.000176,0.3,0.50769,4.02,,,,,,
Helodidae,0.017,y,Other,Coleoptera,0.004155,2,1.82649,4.12,,,,,,
Cordulegaster boltoniia,0.173,y,Other,Cordulegastridae,0.099326,10,9.72509,1.74,,,,,,
Platambus maculates,0.004,y,Other,Dytiscidae,0.0011,2,0.68738,3.97,,,,,,
Siphonoperla,0.012,y,Plecoptera,Chloroperlidae,0.002584,8,0.32587,4.51,,,,,,
Leuctra hippopus,0.028,y,Plecoptera,Leuctridae,0.004135,19,0.21504,6.7,,,,,,
Nemurella pictetii,0.239,y,PLecoptera,Nemouridae,0.034748,341,0.10188,6.87,,,,,,
Leuctra nigra,0.616,y,Plecoptera,plecoptera,0.091976,2208,0.04166,6.7,,,,,,
Paraleptophlebia,0.002,y,Trichoptera,Leptophlebiidae,0.000344,14,0.02433,6.92,,,,,,
Potamophylax,0.137,y,Trichoptera,Limnephilidae,0.027995,7,4.08489,4.89,,,,,,
Sialis fuliginosaa,0.37,y,Trichoptera,trichoptera,0.098786,36,2.75631,3.75,,,,,,
Plectrocnemia,0.261,y,Trichoptera,Trichoptera,0.060629,82,0.73961,4.3,,,,,,
Sum,4.58,,,,0.832,32082,,,,,,,,
