Table X. ,,,,
Nutrient,Units,Median,Q2.5,Q97.5
Flux per area,,,,
Dry Mass,mg·m-2·y-1," 1,910 ", 130 ," 19,020 "
Carbon,mg·m-2·y-1, 860 , 60 ," 8,560 "
Nitrogen,mg·m-2·y-1, 140 , 10 ," 1,360 "
PUFA,mg·m-2·y-1, 20 , 1 , 270 
Phosphorus,mg·m-2·y-1, 10 , 1 , 70 
,,,,
Global flux,,,,
Dry Mass,MT·y-1," 2,820,000 "," 2,517,000 "," 3,262,000 "
Carbon,MT·y-1," 1,269,000 "," 1,133,000 "," 1,468,000 "
Nitrogen,MT·y-1," 201,000 "," 180,000 "," 233,000 "
PUFA,MT·y-1," 32,000 "," 14,000 "," 94,000 "
Phosphorus,MT·y-1," 10,000 "," 9,000 "," 12,000 "
